name,muscleGroup
3/4 sit-up,Abdominals
Ab Roller,Abdominals
Ab bicycle,Abdominals
Alternate Hammer Curl,Biceps
Alternate Incline Dumbbell Curl,Biceps
Alternating Deltoid Raise,Shoulders
Alternating Kettlebell Press,Shoulders
Alternating dumbbell front raise,Shoulders
Alternating dumbbell front raise,Shoulders
Alternating incline dumbbell biceps curl,Biceps
Alternating sit-through with crunch,Middle Back
Alternating standing shoulder press,Shoulders
Arms-crossed jump squat,Quadriceps
Arnold press,Shoulders
Atlas Stones,Lower Back
Axle Deadlift,Lower Back
Back extension,Lower Back
Back extension,Lower Back
Band Good Morning (Pull Through),Hamstrings
Band Hip Adductions,Adductors
Band Skull Crusher,Triceps
Barbell Ab Rollout - On Knees,Abdominals
Barbell Bench Press - Medium Grip,Chest
Barbell Bulgarian split squat,Quadriceps
Barbell Curl,Biceps
Barbell Curls Lying Against An Incline,Biceps
Barbell Deadlift,Hamstrings
Barbell Full Squat,Quadriceps
Barbell Hip Thrust,Glutes
Barbell Incline Bench Press Medium-Grip,Chest
Barbell Shoulder Press,Shoulders
Barbell Squat,Quadriceps
Barbell back squat to box,Quadriceps
Barbell deficit deadlift,Lower Back
Barbell forward lunge,Quadriceps
Barbell front squat,Quadriceps
Barbell glute bridge,Glutes
Barbell hack squat,Quadriceps
Barbell rear delt bent-over row,Shoulders
Barbell roll-out,Abdominals
Barbell shrug,Traps
Barbell shrug,Traps
Barbell step-up,Quadriceps
Barbell stiff-legged deadlift,Hamstrings
Barbell thruster,Quadriceps
Barbell upright row,Shoulders
Barbell walking lunge,Quadriceps
Battle ropes,Shoulders
Bear crawl sled drag,Quadriceps
Bear crawl sled drag,Quadriceps
Behind-the-head skullcrusher,Triceps
Bench Press - Powerlifting,Triceps
Bent Over Barbell Row,Middle Back
Bent Over Two-Arm Long Bar Row,Middle Back
Bent Over Two-Dumbbell Row With Palms In,Middle Back
Bent-over dumbbell rear delt row,Shoulders
Biceps curl to shoulder press,Biceps
Bicycling,Quadriceps
Bodyweight Flyes,Chest
Bodyweight Reverse Lunge,Quadriceps
Bodyweight squat,Quadriceps
Bosu Ball Cable Crunch With Side Bends,Abdominals
Bottoms Up,Abdominals
Box Squat with Bands,Quadriceps
Box Squat with Bands,Quadriceps
Box jump,Hamstrings
Box jump,Hamstrings
Broad jump,Quadriceps
Burpee,Quadriceps
Butt-Ups,Abdominals
Butterfly,Chest
Butterfly,Chest
Cable Chest Press,Chest
Cable Crossover,Chest
Cable Internal Rotation,Shoulders
Cable V-bar push-down,Triceps
Cable cross-over,Chest
Calf Press,Calves
Calf Press On The Leg Press Machine,Calves
Calf-Machine Shoulder Shrug,Traps
Captain's chair knee raise,Abdominals
Car driver,Shoulders
Chain Handle Extension,Triceps
Chest dip,Chest
Clam,Abductors
Clean,Hamstrings
Clean Deadlift,Hamstrings
Clean and jerk,Shoulders
Clean and press,Shoulders
Clean from Blocks,Quadriceps
Clock push-up,Chest
Close push-up to wide push-up,Chest
Close push-up to wide push-up,Chest
Close-Grip Front Lat Pulldown,Lats
Close-grip EZ-bar bench press,Chest
Close-grip EZ-bar curl,Biceps
Close-grip barbell curl,Biceps
Close-grip bench press,Chest
Close-grip bench press,Chest
Close-grip pull-down,Lats
Cocoons,Abdominals
Cocoons,Abdominals
Concentration curl,Biceps
Cross-Body Crunch,Abdominals
Cross-Body Crunch,Abdominals
Cross-body hammer curl,Biceps
Crunch - Hands Overhead,Abdominals
Crunches,Abdominals
Dead bug reach,Abdominals
Deadlift with Bands,Lower Back
Deadlift with Chains,Lower Back
Decline Close-Grip Bench To Skull Crusher,Triceps
Decline Crunch,Abdominals
Decline Dumbbell Flyes,Chest
Decline Dumbbell Triceps Extension,Triceps
Decline EZ-bar skullcrusher,Triceps
Decline Push-Up,Chest
Decline Smith Press,Chest
Decline bar press sit-up,Abdominals
Decline barbell bench press,Chest
Decline dumbbell bench press,Chest
Decline oblique crunch,Abdominals
Decline reverse crunch,Abdominals
Dip Machine,Triceps
Double Leg Butt Kick,Quadriceps
Double-arm triceps kick-back,Triceps
Drag curl,Biceps
Drag curl,Biceps
Drop Push,Chest
Dumbbell Alternate Bicep Curl,Biceps
Dumbbell Bench Press,Chest
Dumbbell Bicep Curl,Biceps
Dumbbell Flyes,Chest
Dumbbell Flyes,Chest
Dumbbell Goblet Squat,Quadriceps
Dumbbell Lunges,Quadriceps
Dumbbell Lying Pronation,Forearms
Dumbbell Lying Rear Lateral Raise,Shoulders
Dumbbell Lying Supination,Forearms
Dumbbell Raise,Shoulders
Dumbbell Raise,Shoulders
Dumbbell V-Sit Cross Jab,Abdominals
Dumbbell bent-over row,Middle Back
Dumbbell external shoulder rotation,Shoulders
Dumbbell farmer's walk,Forearms
Dumbbell floor press,Triceps
Dumbbell front raise,Shoulders
Dumbbell front raise to lateral raise,Shoulders
Dumbbell preacher curl,Biceps
Dumbbell reverse lunge,Quadriceps
Dumbbell seated box jump,Quadriceps
Dumbbell side bend,Abdominals
Dumbbell skullcrusher,Triceps
Dumbbell spell caster,Abdominals
Dumbbell squat,Quadriceps
Dumbbell suitcase crunch,Abdominals
Dumbbell sumo squat,Quadriceps
EZ-Bar Curl,Biceps
EZ-Bar Skullcrusher,Triceps
EZ-bar spider curl,Biceps
Elbow plank,Abdominals
Elbow-to-knee crunch,Abdominals
Elliptical trainer,Quadriceps
Exercise Ball Pull-In,Abdominals
Exercise ball crunch,Abdominals
Exercise ball leg curl,Hamstrings
External Rotation with Cable,Shoulders
Feet-elevated bench dip,Triceps
Feet-elevated push-up,Chest
Flat Bench Lying Leg Raise,Abdominals
Flexor Incline Dumbbell Curls,Biceps
Flexor Incline Dumbbell Curls,Biceps
Flutter Kicks,Glutes
Forward lunge,Quadriceps
Front Plate Raise,Shoulders
Front Raise And Pullover,Chest
Front Squats With Two Kettlebells,Quadriceps
Gironda Sternum Chins,Lats
Glute Ham Raise,Hamstrings
Glute Kickback,Glutes
Glute bridge,Glutes
Glute ham raise-,Hamstrings
Goblet Squat,Quadriceps
Good Morning,Hamstrings
Gorilla Chin/Crunch,Abdominals
Groiners,Adductors
Hack Squat,Quadriceps
Hammer Curls,Biceps
Hammer Curls,Biceps
Hammer Grip Incline DB Bench Press,Chest
Hands-elevated push-up,Chest
Handstand push-up,Shoulders
Hang Clean,Quadriceps
Hang Clean - Below the Knees,Quadriceps
Hang Snatch,Hamstrings
Hanging Oblique Knee Raise,Abdominals
Hanging leg raise,Abdominals
Hanging toes-to-bar,Abdominals
Hanging toes-to-bar,Abdominals
Hex-bar deadlift,Quadriceps
Hip Circles (Prone),Abductors
Hip Circles (Prone),Abductors
